#timestamp, tx, ty, tz, qx, qy, qz, qw
0.000000000, 0.0194567, 7.52989e-05, 8.41446e-06, 0.00275515, -0.0027352, 7.53595e-06, 0.999992
0.000000000, 1.05941, 0.0220183, -0.00139003, 0.00302152, -0.00460432, 0.0978672, 0.995184
0.000000000, 1.22363, 0.0796065, 0.00589622, 0.00360408, -0.00681622, 0.214088, 0.976784
0.000000000, 1.33368, 0.145287, 0.00997824, 0.00284934, -0.00733057, 0.323414, 0.946225
0.000000000, 2.0684, 0.77399, 0.0136317, 0.00504292, -0.00970114, 0.200101, 0.979714
0.000000000, 3.09341, 1.04746, 0.00760294, 0.00230989, -0.000294932, 0.124848, 0.992173
0.000000000, 4.15295, 1.31385, 0.00921578, 0.000141206, -0.00276871, 0.134118, 0.990962
0.000000000, 5.17923, 1.55574, 0.0111871, -0.000755078, -0.00503335, 0.102166, 0.994754
0.000000000, 6.18382, 1.72149, 0.00402803, 0.000274437, -0.000557208, 0.0799171, 0.996801
0.000000000, 7.27205, 1.85723, 0.0106747, -0.0007043, -0.00511628, 0.0590353, 0.998243
0.000000000, 8.3334, 1.9398, 0.00922013, 0.000322045, -0.00421887, 0.0359801, 0.999344
0.000000000, 9.39678, 1.98623, 0.00186289, -0.00488214, -0.0022801, 0.0199261, 0.999787
0.000000000, 10.4499, 1.99729, -0.00207614, -0.00318453, -0.0108675, 0.00869794, 0.999898
0.000000000, 11.5675, 2.07985, 0.00579817, -0.00128562, -0.0047745, 0.082917, 0.996544
0.000000000, 12.6584, 2.22653, 0.0128985, 0.00462117, -0.00862408, 0.0676443, 0.997662
0.000000000, 13.7796, 2.33775, 0.0168693, 0.0019472, -0.00337493, 0.0489701, 0.998793
0.000000000, 14.8916, 2.42696, 0.0208355, 0.00201152, -0.00535813, 0.0474041, 0.998859
0.000000000, 15.9981, 2.50604, 0.011042, 3.79766e-05, -0.00284637, 0.0322189, 0.999477
0.000000000, 17.0733, 2.56143, 0.0155922, 0.000433045, 0.000726719, 0.0396303, 0.999214
0.000000000, 18.2127, 2.64363, 0.0162727, 0.00443475, -0.00577369, 0.0491608, 0.998764
0.000000000, 19.2188, 2.73597, 0.0114005, 0.0037648, -0.00486345, 0.0530223, 0.998574
0.000000000, 20.3611, 2.83828, 0.0159781, 0.00295747, -0.00649804, 0.0469674, 0.998871
0.000000000, 21.3697, 2.90765, 0.0148404, 0.00152002, -0.00352356, 0.0399685, 0.999194
0.000000000, 22.3789, 2.96365, 0.015894, 0.00294651, -0.0028075, 0.0350759, 0.999376
0.000000000, 23.3819, 3.01841, 0.0131743, 0.00417516, -0.00179288, 0.0313247, 0.999499
0.000000000, 24.3857, 3.06109, 0.0192649, 0.00509882, -0.00278036, 0.026386, 0.999635
0.000000000, 25.4136, 3.15776, -0.00430565, 0.00671433, 0.00493681, 0.0877903, 0.996104
0.000000000, 26.4898, 3.3934, -0.029177, 0.00743136, -0.002966, 0.154224, 0.988003
0.000000000, 27.0019, 3.62044, -0.0319465, 0.00316768, -0.00386188, 0.279517, 0.960128
